Entry	Entry name	Status	Protein names	Organism	Gene names  (primary )	Cross-reference (RefSeq)	Cross-reference (PhosphoSitePlus)
P12785	FAS_RAT	reviewed	Fatty acid synthase (EC 2.3.1.85) (Type I FAS) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	Rattus norvegicus (Rat)	Fasn	NP_059028.1;	P12785;
P00159	CYB_RAT	reviewed	Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)	Rattus norvegicus (Rat)	Mt-Cyb	AP_004904.1;YP_665641.1;	
P30543	AA2AR_RAT	reviewed	Adenosine receptor A2a	Rattus norvegicus (Rat)	Adora2a	NP_445746.3;XP_017457041.1;XP_017457042.1;XP_017457043.1;XP_017457044.1;	P30543;
Q9JID2	GNA11_RAT	reviewed	Guanine nucleotide-binding protein subunit alpha-11 (G alpha-11) (G-protein subunit alpha-11)	Rattus norvegicus (Rat)	Gna11	NP_112295.1;	Q9JID2;
P16303	EST1D_RAT	reviewed	Carboxylesterase 1D (Carboxyesterase ES-10) (Carboxylesterase 3) (EC 3.1.1.1) (EC 3.1.1.67) (ES-HVEL) (Fatty acid ethyl ester synthase) (FAEE synthase) (Liver carboxylesterase 10) (pI 6.1 esterase)	Rattus norvegicus (Rat)	Ces1d	NP_579829.3;	P16303;
Q6QDP7	CR3L2_RAT	reviewed	Cyclic AMP-responsive element-binding protein 3-like protein 2 (cAMP-responsive element-binding protein 3-like protein 2) (SCI-related protein Ra69) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3-like protein 2]	Rattus norvegicus (Rat)	Creb3l2	NP_001012188.1;	
P70615	LMNB1_RAT	reviewed	Lamin-B1	Rattus norvegicus (Rat)	Lmnb1	NP_446357.1;	P70615;
Q9ERW3	FGF13_RAT	reviewed	Fibroblast growth factor 13 (FGF-13)	Rattus norvegicus (Rat)	Fgf13	NP_445880.1 [Q9ERW3-2];XP_006257654.1 [Q9ERW3-1];	Q9ERW3;
P31977	EZRI_RAT	reviewed	Ezrin (Cytovillin) (Villin-2) (p81)	Rattus norvegicus (Rat)	Ezr	NP_062230.1;	P31977;
P27008	PARP1_RAT	reviewed	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	Rattus norvegicus (Rat)	Parp1	NP_037195.1;	P27008;
Q62625	MLP3B_RAT	reviewed	Microtubule-associated proteins 1A/1B light chain 3B (Autophagy-related protein LC3 B) (Autophagy-related ubiquitin-like modifier LC3 B) (MAP1 light chain 3-like protein 2) (MAP1A/MAP1B light chain 3 B) (MAP1A/MAP1B LC3 B) (Microtubule-associated protein 1 light chain 3 beta)	Rattus norvegicus (Rat)	Map1lc3b	NP_074058.2 [Q62625-2];XP_017456840.1 [Q62625-1];	Q62625;
Q9R172	NOTC3_RAT	reviewed	Neurogenic locus notch homolog protein 3 (Notch 3) [Cleaved into: Notch 3 extracellular truncation; Notch 3 intracellular domain]	Rattus norvegicus (Rat)	Notch3	NP_064472.2;	
Q9R0I6	XIAP_RAT	reviewed	E3 ubiquitin-protein ligase XIAP (EC 2.3.2.27) (Baculoviral IAP repeat-containing protein 4) (IAP homolog A) (Inhibitor of apoptosis protein 3) (IAP-3) (rIAP-3) (rIAP3) (RING-type E3 ubiquitin transferase XIAP) (X-linked inhibitor of apoptosis protein) (X-linked IAP)	Rattus norvegicus (Rat)	Xiap	NP_071567.1;XP_006257570.1;XP_006257571.1;XP_017457637.1;XP_017457638.1;XP_017457639.1;XP_017457640.1;	Q9R0I6;
Q9JKR5	ZDHC2_RAT	reviewed	Palmitoyltransferase ZDHHC2 (EC 2.3.1.225) (Acyltransferase ZDHHC2) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 2) (DHHC-2)	Rattus norvegicus (Rat)	Zdhhc2	NP_659564.2;	Q9JKR5;
O35476	OPSG_RAT	reviewed	Medium-wave-sensitive opsin 1 (Green cone photoreceptor pigment) (Green-sensitive opsin) (Medium wavelength-sensitive cone opsin)	Rattus norvegicus (Rat)	Opn1mw	NP_446000.1;	O35476;
Q80T22	MFS4B_RAT	reviewed	Sodium-dependent glucose transporter 1 (rNaGLT1) (Major facilitator superfamily domain-containing protein 4B)	Rattus norvegicus (Rat)	Mfsd4b	NP_788269.1;	Q80T22;
Q4V8E5	MFSD3_RAT	reviewed	Major facilitator superfamily domain-containing protein 3	Rattus norvegicus (Rat)	Mfsd3	NP_001020079.1;	
P18298	METK2_RAT	reviewed	S-adenosylmethionine synthase isoform type-2 (AdoMet synthase 2) (EC 2.5.1.6) (Methionine adenosyltransferase 2) (MAT 2) (Methionine adenosyltransferase II) (MAT-II)	Rattus norvegicus (Rat)	Mat2a	NP_599178.1;	P18298;
Q6P6Q9	MICU1_RAT	reviewed	Calcium uptake protein 1, mitochondrial (Calcium-binding atopy-related autoantigen 1 homolog)	Rattus norvegicus (Rat)	Micu1	NP_955444.1;	Q6P6Q9;
Q9QYM0	MRP5_RAT	reviewed	Multidrug resistance-associated protein 5 (ATP-binding cassette sub-family C member 5)	Rattus norvegicus (Rat)	Abcc5	NP_446376.1;	
D3ZAA9	MPP2_RAT	reviewed	MAGUK p55 subfamily member 2 (Protein MPP2)	Rattus norvegicus (Rat)	Mpp2	NP_445965.1;XP_008766351.1;	D3ZAA9;
Q9ES58	MO2R1_RAT	reviewed	Cell surface glycoprotein CD200 receptor 1 (CD200 cell surface glycoprotein receptor) (Cell surface glycoprotein OX2 receptor 1) (OX102 antigen)	Rattus norvegicus (Rat)	Cd200r1	NP_076443.1 [Q9ES58-1];	
Q5U2Y3	MPP7_RAT	reviewed	MAGUK p55 subfamily member 7	Rattus norvegicus (Rat)	Mpp7	NP_001094045.1;XP_017456053.1;	Q5U2Y3;
Q62953	MTR1L_RAT	reviewed	Melatonin-related receptor (G protein-coupled receptor 50) (H9) (Fragment)	Rattus norvegicus (Rat)	Gpr50		
O70249	OGG1_RAT	reviewed	N-glycosylase/DNA lyase [Includes: 8-oxoguanine DNA glycosylase (EC 3.2.2.-); DNA-(apurinic or apyrimidinic site) lyase (AP lyase) (EC 4.2.99.18)]	Rattus norvegicus (Rat)	Ogg1	NP_110497.1;	O70249;
P31044	PEBP1_RAT	reviewed	Phosphatidylethanolamine-binding protein 1 (PEBP-1) (23 kDa morphine-binding protein) (HCNPpp) (P23K) [Cleaved into: Hippocampal cholinergic neurostimulating peptide (HCNP)]	Rattus norvegicus (Rat)	Pebp1	NP_058932.1;	P31044;
Q8R2H5	PHLD_RAT	reviewed	Phosphatidylinositol-glycan-specific phospholipase D (PI-G PLD) (EC 3.1.4.50) (Glycoprotein phospholipase D) (Glycosyl-phosphatidylinositol-specific phospholipase D) (GPI-PLD) (GPI-specific phospholipase D)	Rattus norvegicus (Rat)	Gpld1	NP_001093982.1;	
P42571	PO2F3_RAT	reviewed	POU domain, class 2, transcription factor 3 (Octamer-binding protein 11) (Oct-11) (Octamer-binding transcription factor 11) (OTF-11) (Transcription factor Skn-1)	Rattus norvegicus (Rat)	Pou2f3		
O55000	PP1RA_RAT	reviewed	Serine/threonine-protein phosphatase 1 regulatory subunit 10 (MHC class I region proline-rich protein CAT53) (Phosphatase 1 nuclear targeting subunit) (Protein PNUTS)	Rattus norvegicus (Rat)	Ppp1r10	NP_075240.1;	O55000;
Q4G033	PIWL4_RAT	reviewed	Piwi-like protein 4	Rattus norvegicus (Rat)	Piwil4		Q4G033;
P18422	PSA3_RAT	reviewed	Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8) (Proteasome subunit K)	Rattus norvegicus (Rat)	Psma3	NP_001004094.1;NP_058976.1;	P18422;
P35234	PTN5_RAT	reviewed	Tyrosine-protein phosphatase non-receptor type 5 (EC 3.1.3.48) (Neural-specific protein-tyrosine phosphatase) (Striatum-enriched protein-tyrosine phosphatase) (STEP)	Rattus norvegicus (Rat)	Ptpn5	NP_062126.3;	P35234;
P0C089	PTPM1_RAT	reviewed	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1 (EC 3.1.3.27) (Protein-tyrosine phosphatase mitochondrial 1) (EC 3.1.3.16) (EC 3.1.3.48)	Rattus norvegicus (Rat)	Ptpmt1		
Q07066	PXMP2_RAT	reviewed	Peroxisomal membrane protein 2 (22 kDa peroxisomal membrane protein)	Rattus norvegicus (Rat)	Pxmp2	NP_113775.1;	
Q6AXT7	RBM42_RAT	reviewed	RNA-binding protein 42 (RNA-binding motif protein 42)	Rattus norvegicus (Rat)	Rbm42	NP_001014181.2;	Q6AXT7;
P35942	RDRP_ROTGI	reviewed	RNA-directed RNA polymerase (EC 2.7.7.48) (Protein VP1)	Rotavirus B (isolate RVB/Rat/United States/IDIR/1984/G1P[X]) (RV-B) (Rotavirus B (isolate infectious diarrhea of infant rats))			
B0BN49	RBMX2_RAT	reviewed	RNA-binding motif protein, X-linked 2	Rattus norvegicus (Rat)	Rbmx2	NP_001107258.2;	B0BN49;
O35550	RABE1_RAT	reviewed	Rab GTPase-binding effector protein 1 (Rabaptin-5) (Rabaptin-5alpha)	Rattus norvegicus (Rat)	Rabep1	NP_061997.1;	O35550;
O55081	RBL2_RAT	reviewed	Retinoblastoma-like protein 2 (130 kDa retinoblastoma-associated protein) (p130) (PPAR-alpha-interacting complex protein 128) (PRIC128) (Retinoblastoma-related protein 2) (RBR-2) (pRb2)	Rattus norvegicus (Rat)	Rbl2	NP_112356.1;	O55081;
P35289	RAB15_RAT	reviewed	Ras-related protein Rab-15	Rattus norvegicus (Rat)	Rab15	NP_942044.1;	P35289;
Q63941	RAB3B_RAT	reviewed	Ras-related protein Rab-3B	Rattus norvegicus (Rat)	Rab3b	NP_112353.1;	Q63941;
P61589	RHOA_RAT	reviewed	Transforming protein RhoA (EC 3.6.5.2)	Rattus norvegicus (Rat)	Rhoa	NP_476473.1;XP_006243761.1;XP_006243762.1;XP_006243763.1;	P61589;
Q99M75	RTN4R_RAT	reviewed	Reticulon-4 receptor (Nogo receptor) (NgR) (Nogo-66 receptor)	Rattus norvegicus (Rat)	Rtn4r	NP_446065.1;	
P05943	S10AA_RAT	reviewed	Protein S100-A10 (Calpactin I light chain) (Calpactin-1 light chain) (Cellular ligand of annexin II) (Nerve growth factor-induced protein 42C) (S100 calcium-binding protein A10) (p10 protein) (p11)	Rattus norvegicus (Rat)	S100a10	NP_112376.1;	P05943;
O70594	S22A5_RAT	reviewed	Solute carrier family 22 member 5 (CT1) (High-affinity sodium-dependent carnitine cotransporter) (Organic cation/carnitine transporter 2) (UST2r)	Rattus norvegicus (Rat)	Slc22a5	NP_062142.1;	O70594;
P50116	S10A9_RAT	reviewed	Protein S100-A9 (Calgranulin-B) (Migration inhibitory factor-related protein 14) (MRP-14) (p14) (Myeloid-related protein 14) (S100 calcium-binding protein A9)	Rattus norvegicus (Rat)	S100a9	NP_446039.1;	P50116;
Q9WUW9	S1C2A_RAT	reviewed	Sulfotransferase 1C2A (ST1C2A) (rSULT1C2A) (EC 2.8.2.-) (Sulfotransferase K2)	Rattus norvegicus (Rat)	Sult1c2a		Q9WUW9;
P08635	SAST_RAT	reviewed	S-acyl fatty acid synthase thioesterase, medium chain (EC 3.1.2.14) (Medium-chain S-acyl fatty acid synthetase thioester hydrolase) (Oleoyl-ACP hydrolase) (Thioesterase II) (Thioesterase domain-containing protein 1)	Rattus norvegicus (Rat)	Olah	NP_073196.1;XP_008770108.1;XP_008770109.1;XP_017456149.1;	
P04775	SCN2A_RAT	reviewed	Sodium channel protein type 2 subunit alpha (Sodium channel protein brain II subunit alpha) (Sodium channel protein type II subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.2)	Rattus norvegicus (Rat)	Scn2a	NP_036779.1;	P04775;
Q6TUF2	SDHF3_RAT	reviewed	Succinate dehydrogenase assembly factor 3, mitochondrial (SDH assembly factor 3) (SDHAF3) (Liver regeneration-related protein LRRGT00092)	Rattus norvegicus (Rat)	Sdhaf3	NP_001041379.1 [Q6TUF2-2];	
P34900	SDC2_RAT	reviewed	Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362)	Rattus norvegicus (Rat)	Sdc2	NP_037214.1;	P34900;
A2RRU4	SCAP_RAT	reviewed	Sterol regulatory element-binding protein cleavage-activating protein (SCAP) (SREBP cleavage-activating protein)	Rattus norvegicus (Rat)	Scap	NP_001094436.1;XP_006243984.1;XP_006243985.1;XP_006243986.1;XP_006243987.1;XP_017451085.1;	A2RRU4;
Q9R168	SFRP1_RAT	reviewed	Secreted frizzled-related protein 1 (sFRP-1) (Fragment)	Rattus norvegicus (Rat)	Sfrp1		
Q6AYL5	SF3B4_RAT	reviewed	Splicing factor 3B subunit 4	Rattus norvegicus (Rat)	Sf3b4	NP_001011951.1;	
O88420	SCN8A_RAT	reviewed	Sodium channel protein type 8 subunit alpha (Peripheral nerve protein type 4) (PN4) (Sodium channel 6) (NaCh6) (Sodium channel protein type VIII subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.6)	Rattus norvegicus (Rat)	Scn8a	NP_062139.2 [O88420-1];	O88420;
Q8K3K4	SPB10_RAT	reviewed	Serpin B10 (TGF-beta-repressible serine proteinase inhibitor) (Trespin) (Transforming growth factor beta repressible serpin)	Rattus norvegicus (Rat)	Serpinb10	NP_714955.2;	
Q99N27	SNX1_RAT	reviewed	Sorting nexin-1	Rattus norvegicus (Rat)	Snx1	NP_445863.1;	Q99N27;
O70536	SOAT1_RAT	reviewed	Sterol O-acyltransferase 1 (EC 2.3.1.26) (Acyl-coenzyme A:cholesterol acyltransferase 1) (ACAT-1) (Cholesterol acyltransferase 1)	Rattus norvegicus (Rat)	Soat1	NP_112380.1;	
P59622	SLAP1_RAT	reviewed	Src-like-adapter (Src-like-adapter protein 1) (SLAP-1)	Rattus norvegicus (Rat)	Sla	NP_835198.1;	P59622;
P35248	SFTPD_RAT	reviewed	Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (CP4) (Lung surfactant protein D)	Rattus norvegicus (Rat)	Sftpd	NP_037010.1;	P35248;
B2GUZ2	SKA3_RAT	reviewed	Spindle and kinetochore-associated protein 3	Rattus norvegicus (Rat)	Ska3	XP_006252136.1;XP_006252137.1;	
Q9JLU4	SHAN3_RAT	reviewed	SH3 and multiple ankyrin repeat domains protein 3 (Shank3) (Proline-rich synapse-associated protein 2) (ProSAP2) (SPANK-2)	Rattus norvegicus (Rat)	Shank3	NP_067708.1;	Q9JLU4;
P62916	TF2B_RAT	reviewed	Transcription initiation factor IIB (EC 2.3.1.48) (General transcription factor TFIIB) (RNA polymerase II alpha initiation factor)	Rattus norvegicus (Rat)	Gtf2b	NP_112303.1;	P62916;
P41224	TEF_RAT	reviewed	Thyrotroph embryonic factor	Rattus norvegicus (Rat)	Tef	NP_062067.2;	
P08932	KNT2_RAT	reviewed	T-kininogen 2 (Alpha-1-MAP) (Major acute phase protein) (T-kininogen II) (Thiostatin) [Cleaved into: T-kininogen 2 heavy chain (T-kininogen II heavy chain); T-kinin; T-kininogen 2 light chain (T-kininogen II light chain)]	Rattus norvegicus (Rat)		NP_001009628.1;	
Q9Z2A6	MK15_RAT	reviewed	Mitogen-activated protein kinase 15 (MAP kinase 15) (MAPK 15) (EC 2.7.11.24) (Extracellular signal-regulated kinase 7) (ERK-7) (Extracellular signal-regulated kinase 8) (ERK-8)	Rattus norvegicus (Rat)	Mapk15	NP_775453.1;XP_006241841.1;	
Q4G050	MKNK1_RAT	reviewed	MAP kinase-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (MAP kinase signal-integrating kinase 1) (MAPK signal-integrating kinase 1) (Mnk1)	Rattus norvegicus (Rat)	Mknk1	NP_001037732.1;XP_006238760.1;XP_006238761.1;	
Q09325	MGAT1_RAT	reviewed	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase (EC 2.4.1.101) (N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I) (GNT-I) (GlcNAc-T I)	Rattus norvegicus (Rat)	Mgat1	NP_110488.1;XP_006246244.1;XP_006246245.1;XP_006246246.1;XP_006246247.1;XP_008765937.1;	Q09325;
Q62875	MILR1_RAT	reviewed	Allergin-1 (Allergy inhibitory receptor 1) (Mast cell antigen 32) (MCA-32) (Mast cell Ag-32) (Mast cell immunoglobulin-like receptor 1)	Rattus norvegicus (Rat)	Milr1	NP_067596.1;	Q62875;
Q6AYL9	NUF2_RAT	reviewed	Kinetochore protein Nuf2 (Cell division cycle-associated protein 1)	Rattus norvegicus (Rat)	Nuf2	NP_001012028.1;	
B0BN44	P5I13_RAT	reviewed	Tumor protein p53-inducible protein 13	Rattus norvegicus (Rat)	Tp53i13	NP_001099288.1;	B0BN44;
Q05028	PDGFB_RAT	reviewed	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Fragment)	Rattus norvegicus (Rat)	Pdgfb	NP_113712.1;	Q05028;
D4ACX8	PCD16_RAT	reviewed	Protocadherin-16 (Protein dachsous homolog 1)	Rattus norvegicus (Rat)	Dchs1	NP_001101014.2;XP_006230004.1;	D4ACX8;
Q5XI70	PCGF6_RAT	reviewed	Polycomb group RING finger protein 6 (RING finger protein 134)	Rattus norvegicus (Rat)	Pcgf6	NP_001013172.1;	
Q9QY17	PACN2_RAT	reviewed	Protein kinase C and casein kinase substrate in neurons 2 protein (Synaptic dynamin-associated protein II) (Syndapin-2) (Syndapin-II) (SdpII)	Rattus norvegicus (Rat)	Pacsin2	NP_570096.2 [Q9QY17-3];XP_006242112.1 [Q9QY17-1];XP_006242113.1 [Q9QY17-1];XP_006242114.1 [Q9QY17-1];XP_006242115.1 [Q9QY17-1];XP_006242117.1 [Q9QY17-3];XP_006242120.1 [Q9QY17-2];XP_006242122.1 [Q9QY17-4];XP_017450116.1 [Q9QY17-1];	Q9QY17;
Q64294	PDPN_RAT	reviewed	Podoplanin (E11 antigen epitope) (RTI140) (T1-alpha) (T1A) (Type I cell 40 kDa protein)	Rattus norvegicus (Rat)	Pdpn	NP_062231.1;	
O08699	PGDH_RAT	reviewed	15-hydroxyprostaglandin dehydrogenase [NAD(+)] (15-PGDH) (EC 1.1.1.141) (Prostaglandin dehydrogenase 1)	Rattus norvegicus (Rat)	Hpgd	NP_077366.2;	O08699;
Q9JLN4	PGRP1_RAT	reviewed	Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S)	Rattus norvegicus (Rat)	Pglyrp1	NP_445825.1;	Q9JLN4;
P21807	PERI_RAT	reviewed	Peripherin	Rattus norvegicus (Rat)	Prph		P21807;
P10361	P53_RAT	reviewed	Cellular tumor antigen p53 (Tumor suppressor p53)	Rattus norvegicus (Rat)	Tp53	NP_112251.2;XP_006246656.1;XP_006246657.1;	P10361;
Q6AXW4	PHF7_RAT	reviewed	PHD finger protein 7	Rattus norvegicus (Rat)	Phf7	NP_001012211.1;	
Q5BJP9	PHYD1_RAT	reviewed	Phytanoyl-CoA dioxygenase domain-containing protein 1 (EC 1.-.-.-)	Rattus norvegicus (Rat)	Phyhd1	NP_001013099.1;XP_006233841.1;XP_006233842.1;XP_017447138.1;	Q5BJP9;
P47858	PFKAM_RAT	reviewed	ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)	Rattus norvegicus (Rat)	Pfkm	NP_113903.1;	P47858;
Q7TMB0	PLPR3_RAT	reviewed	Phospholipid phosphatase-related protein type 3 (EC 3.1.3.4) (Lipid phosphate phosphatase-related protein type 3) (Plasticity-related gene 2 protein) (PRG-2)	Rattus norvegicus (Rat)	Plppr3		Q7TMB0;
Q9R0I8	PI42A_RAT	reviewed	Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIPK2 alpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(5)P-4-kinase isoform 2-alpha)	Rattus norvegicus (Rat)	Pip4k2a	NP_446378.1;	Q9R0I8;
P16617	PGK1_RAT	reviewed	Phosphoglycerate kinase 1 (EC 2.7.2.3)	Rattus norvegicus (Rat)	Pgk1	NP_445743.2;	P16617;
P55159	PON1_RAT	reviewed	Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (Serum aryldialkylphosphatase 1)	Rattus norvegicus (Rat)	Pon1	NP_114466.1;	P55159;
P10111	PPIA_RAT	reviewed	Peptidyl-prolyl cis-trans isomerase A (PPIase A) (EC 5.2.1.8) (Cyclophilin A) (Cyclosporin A-binding protein) (Rotamase A) (p1B15) (p31) [Cleaved into: Peptidyl-prolyl cis-trans isomerase A, N-terminally processed]	Rattus norvegicus (Rat)	Ppia	NP_058797.1;XP_006250863.1;	P10111;
P15083	PIGR_RAT	reviewed	Polymeric immunoglobulin receptor (PIgR) (Poly-Ig receptor) [Cleaved into: Secretory component]	Rattus norvegicus (Rat)	Pigr	NP_036855.3;	P15083;
Q9Z158	STX17_RAT	reviewed	Syntaxin-17	Rattus norvegicus (Rat)	Stx17	NP_663775.1;XP_006238086.1;XP_017448641.1;	Q9Z158;
P38983	RSSA_RAT	reviewed	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40)	Rattus norvegicus (Rat)	Rpsa	NP_058834.1;	P38983;
Q5M7A3	S35G2_RAT	reviewed	Solute carrier family 35 member G2 (Transmembrane protein 22)	Rattus norvegicus (Rat)	Slc35g2	NP_001012126.1;XP_006243692.1;XP_017451168.1;	Q5M7A3;
Q5M856	SPC25_RAT	reviewed	Kinetochore protein Spc25	Rattus norvegicus (Rat)	Spc25	NP_001009654.1;XP_006234350.1;	
Q8VBV2	SPG11_RAT	reviewed	Sperm-associated antigen 11 (Antimicrobial-like protein Bin-1b)	Rattus norvegicus (Rat)	Spag11	NP_659555.1;	
Q8R496	SPDYA_RAT	reviewed	Speedy protein A (GS4) (Rapid inducer of G2/M progression in oocytes A) (RINGO A) (Speedy-1) (Spy1)	Rattus norvegicus (Rat)	Spdya	NP_620210.1;XP_006239830.1;	
P55248	SH_RAT	reviewed	Putative protein SH (SH-4)	Rattus norvegicus (Rat)			
Q9QX78	SOCS1_RAT	reviewed	Suppressor of cytokine signaling 1 (SOCS-1)	Rattus norvegicus (Rat)	Socs1		
P82450	SIAE_RAT	reviewed	Sialate O-acetylesterase (EC 3.1.1.53) (Sialic acid-specific 9-O-acetylesterase) (Yolk sac protein 2) [Cleaved into: Sialate O-acetylesterase small subunit; Sialate O-acetylesterase large subunit]	Rattus norvegicus (Rat)	Siae		
